,project_phase,User_uid,Cat,Fox,Marten,Raccoon,garden_type,garden_size,Local_tree_cover,fence_height,compost,pop_100,dist_water_100,imperv_100,noise_100,tree_cover_100,distance_border,inside,season,covid,dist_border,pop_100m
35,1,118,2,0,1,2,Wohngrundstueck,30,5,100,Keiner,28.64268494,734.0664063,49.0049324,59.18202209,54.74012375,5755.249004,1,Fall,No,5754.893303,29.58504445
36,1,119,41,4,0,19,Wohngrundstueck,350,15,130,Geschlossen,40.25331116,733.578186,37.63982391,51.42364502,39.29656601,2773.65344,1,Fall,No,2764.945515,39.69717983
37,1,121,4,2,0,1,Wohngrundstueck,777,15,150,Offen,30.15197182,99.27355957,32.11374664,50.0930481,23.59739113,399.259202,1,Fall,No,321.2587535,34.35901376
38,1,124,0,1,1,0,Wohngrundstueck,500,15,100,Keiner,26.42610359,1202.670532,39.75541306,70.75644684,54.90629578,1910.949975,1,Fall,No,1913.669942,26.47033076
39,1,130,30,1,0,10,Wohngrundstueck,720,40,100,Offen,23.19497108,1042.548584,55.56748962,55.18981552,29.63136864,835.3036799,1,Fall,No,837.8889042,23.69259502
40,1,131,2,5,0,15,Wohngrundstueck,1000,20,140,Offen,45.40804672,251.3066254,63.97228622,59.65584183,38.82328415,4451.918723,1,Fall,No,4561.544074,45.57412126
41,1,132,46,1,7,4,Wohngrundstueck,650,50,110,Offen,57.76379395,1594.708374,63.5303154,52.87719345,27.04370499,6648.222849,1,Fall,No,6646.17653,50.93436305
42,1,135,2,0,0,6,Wohngrundstueck,70,4,150,Offen,60.05199432,1999.077026,67.58287048,55.45362473,19.93092155,5825.485872,1,Fall,No,5817.164022,67.95291846
43,1,139,14,0,1,0,Wohngrundstueck,650,10,150,Geschlossen,38.60626221,1356.051636,59.4908638,53.90516663,23.29927635,4691.273705,1,Fall,No,4689.116754,44.15981534
44,1,141,7,1,1,0,Wohngrundstueck,350,15,100,Offen,21.55156708,160.2723694,52.71630859,60.35070419,51.08771133,2716.280462,1,Fall,No,2716.100499,22.71060074
45,1,142,16,2,0,0,Wohngrundstueck,200,10,115,Offen,31.3286171,840.2045288,56.59813309,52.47763824,23.44849968,1048.535814,1,Fall,No,1125.610203,32.0912824
46,1,145,0,3,0,0,Wohngrundstueck,1000,40,130,Keiner,85.56137848,204.0729065,46.5402565,59.31717682,42.83858871,2214.936233,1,Fall,No,2209.714702,85.55295879
47,1,148,40,11,5,0,Kleingarten,360,20,120,Geschlossen,7.106954575,70.27568817,26.70241165,53.26180267,61.17975235,1294.891374,1,Fall,No,1284.258646,10.07269515
48,1,149,2,3,0,3,Wohngrundstueck,4000,40,0,Offen,49.06202316,979.5873413,34.91746521,63.50381851,38.81574631,1429.282308,1,Fall,No,1435.608458,52.19271605
49,1,151,50,0,7,21,Wohngrundstueck,4000,30,200,Offen,15.5296278,1129.552368,13.2763586,58.84605408,29.35751915,1665.166533,1,Fall,No,1674.56135,15.38077538
50,1,152,54,0,0,28,Wohngrundstueck,100,30,100,Geschlossen,53.51150894,114.7066269,57.08082962,47.06945419,36.50574875,1157.521333,1,Fall,No,1150.848036,54.74724968
51,1,154,53,1,0,12,Wohngrundstueck,250,10,125,Geschlossen,43.10817719,1108.385376,40.45509338,53.78472519,29.16420364,3572.030074,1,Fall,No,3575.239621,38.70600981
52,1,157,1,6,19,27,Kleingarten,400,25,140,Offen,119.8513641,938.0722046,87.89150238,47.92938232,4.731085777,5057.652829,1,Fall,No,4964.28854,118.8222012
53,1,158,23,17,14,0,Kleingarten,200,10,80,Keiner,245.8173676,234.8741455,100,62.19228745,0,10343.28751,1,Fall,No,10344.56349,261.185443
54,1,159,94,0,0,0,Wohngrundstueck,90,10,50,Keiner,233.2644043,892.3946533,73.99389648,43.47414017,15.59793377,8846.416662,1,Fall,No,8849.649891,289.5184059
55,1,161,7,0,0,0,Wohngrundstueck,80,30,150,Keiner,313.6776428,221.3012238,94.916008,57.49752808,0,3951.927312,1,Fall,No,3930.700139,352.7339778
56,1,163,41,8,5,0,Wohngrundstueck,260,15,150,Offen,88.34112549,221.6908569,40.51930237,61.03871155,42.86038971,3528.13952,1,Fall,No,3520.85026,90.95978696
57,1,164,94,0,1,0,Wohngrundstueck,400,20,80,Offen,44.65391541,298.0899658,44.07417297,52.1404686,48.9716835,1357.07094,1,Fall,No,1337.590694,44.77222175
58,1,165,3,1,0,0,Wohngrundstueck,600,45,150,Offen,32.25549698,2101.075928,52.27054596,56.10467911,48.74664307,950.0841511,1,Fall,No,954.2065899,33.8003783
