Name,Model,AIC,delta_AIC,AIC_wt,AICc,AICc_wt,BIC,BIC_wt,R2_conditional,R2_marginal,ICC,RMSE,Sigma,Score_log,Score_spherical
env05,glmerMod,3798.4256681926067,0,0.9999999999999938,3799.068819818809,0.9999999999999929,3946.6451108499136,0.9999664252358632,0.65341,0.37934,0.4415873411405805,0.9766066612086597,1,-0.7479708299562111,0.019026176711670204
env02,glmerMod,3864.960121785242,66.53445359263515,3.566374731944507e-15,3865.272308001581,4.208188640827477e-15,3967.5735820864543,2.8538137891890645e-5,0.65041,0.37584,0.43990426162626456,0.9917853997055784,1,-0.766808376186148,0.018989876919432346
env04,glmerMod,3865.4924255182436,67.0667573256369,2.7329940561312967e-15,3865.9551598575213,2.9909958003600805e-15,3990.9088769975033,2.444729006062579e-10,0.64812,0.37222,0.4394748006201226,0.9865576792381994,1,-0.7651600023708358,0.018989180023619136
env03,glmerMod,3885.6539751330324,87.22830694042568,1.144494776815536e-19,3885.9661613493718,1.3504609810465814e-19,3988.267435434245,9.158249542526928e-10,0.62512,0.33068,0.4399199036144378,1.000467128707493,1,-0.7715424021539946,0.01898432905831705
env01,glmerMod,3891.232583564996,92.80691537238908,7.034518654430355e-21,3891.4239275285495,8.81745339854819e-21,3971.043052688161,5.035465947076899e-6,0.62252,0.32692,0.4391800384435371,1.0120061685387105,1,-0.7746365305974482,0.01898403537025761
env00,glmerMod,4342.308604756539,543.8829365639326,7.894432658981057e-119,4342.314042001669,1.0859225279097636e-118,4353.710100345563,4.045256472485865e-89,0.46193,0,0.4619276411764451,1.1526012387129398,1,-0.8788744968693366,0.0188613230348435
