Name,Model,ELPD,ELPD_SE,LOOIC,LOOIC_wt,LOOIC_SE,WAIC,WAIC_wt,delta_WAIC,ICC,RMSE,Sigma,Score_log,Score_spherical
env_b_03,stanreg,-1845.4468702984907,57.14951868091851,3690.8937405969814,0.7650200090077163,114.29903736183702,3680.7348110523258,0.9999999999999998,0,0.45802568562465135,0.9778660678041493,1,-0.7489666625348279,0.019031874668951804
env_b_02,stanreg,-1881.4660356368365,59.39753557975355,3762.932071273673,0.026501458570222236,118.7950711595071,3753.6394955749006,1.4755329205671357e-16,72.90468452257483,0.4584177612663601,0.987148355440887,1,-0.7661367024877916,0.018996939157890413
env_b_01,stanreg,-1892.252753877782,62.651029513158186,3784.505507755564,0.14757267693249165,125.30205902631637,3776.358370616987,1.7203145818810672e-21,95.62355956466126,0.4582337342541911,1.0128592408970662,1,-0.7749863417407322,0.018992198760856473
env_b_00,stanreg,-2123.356011251785,64.61539845553703,4246.71202250357,0.06090585548956981,129.23079691107407,4238.535612718627,7.500581209374662e-122,557.8008016663011,0.4709483481061943,1.1529519656356972,1,-0.8798217386956342,0.018878249660822122
