Name,Model,ELPD,ELPD_SE,LOOIC,LOOIC_wt,LOOIC_SE,WAIC,WAIC_wt,delta_WAIC,RMSE,Sigma,pseudo_r2
env_gard_pred_bmod,stanreg,-664.7955412476146,38.187051852535774,1329.591082495229,0.20010754343398615,76.37410370507155,1327.346280136399,0.743218774952356,0,7.115964201611045,1,0.1876882009262575
env_bmod,stanreg,-666.0216789277919,38.336588891516755,1332.0433578555837,0.2432812748585297,76.67317778303351,1330.7391177688532,0.1362609276506999,3.3928376324543024,7.231878185839067,1,0.18210946352651924
env_dog_bmod,stanreg,-666.4620104861078,38.15074027538826,1332.9240209722157,1.2484157254673722e-5,76.30148055077652,1330.9846246716418,0.12052029739694414,3.6383445352428225,7.212115661278736,1,0.18383109310463086
catmarten_bmod,stanreg,-792.3337425038836,42.35226131938726,1584.6674850077673,0.08363669291153719,84.70452263877452,1584.4933286349062,1.0773196264389154e-56,257.1470484985073,7.625978666827178,1,0.020337037286328408
imp_gard_pred_bmod,stanreg,-794.2673606097273,42.54538824242315,1588.5347212194547,0.40195383507611754,85.0907764848463,1587.8016582164857,2.060392360918616e-57,260.4553780800868,7.628363558233533,1,0.022536740729815707
gard_pred_bmod,stanreg,-794.500248686721,42.504484890332435,1589.000497373442,6.116578138491339e-6,85.00896978066487,1588.3901364888911,1.5351948251816757e-57,261.0438563524922,7.609712711239688,1,0.020411951288421437
season_lock_bmod,stanreg,-795.3781660294364,42.274950230937094,1590.7563320588729,1.5445787934446458e-6,84.54990046187419,1590.6894726657945,4.862604985063662e-58,263.34319252939554,7.724332794464842,1,0.014469347544717293
imp_bmod,stanreg,-795.4216047536,42.355541843806755,1590.8432095072,1.4040837712803273e-9,84.71108368761351,1590.7082666446329,4.817125158860226e-58,263.36198650823394,7.710694722424404,1,0.015587053411404983
imp_dog_bmod,stanreg,-797.202861425903,42.47948297895466,1594.405722851806,8.381222831273975e-8,84.95896595790931,1594.026058539841,9.169350504314392e-59,266.679778403442,7.709639870944768,1,0.015589841047826902
dog_bmod,stanreg,-797.5947561133414,42.429843491341614,1595.1895122266828,7.205903712512436e-7,84.85968698268323,1594.7886278333915,6.262514668386827e-59,267.44234769699256,7.720606597431149,1,0.014360731098194357
null_bmod,stanreg,-805.848085562342,42.768670962086404,1611.696171124684,0.07099970259895946,85.53734192417281,1611.692110640204,1.3372238139758903e-62,284.345830503805,7.858628512252929,1,-0.001335790328062858
