Predictors,Estimate,SE,T_statistic,p,conf.low,conf.high
Intercept,0.919,0.219,4.199,0,0.508,1.373
Imperviousness,-0.211,0.141,-1.499,0.134,-0.496,0.075
Noise,0.101,0.15,0.673,0.501,-0.185,0.401
Population density,0.18,0.149,1.208,0.227,-0.077,0.499
Distance to city border,0,0.16,0.001,0.999,-0.287,0.299
Season: spring,-1.022,0.257,-3.979,0,-1.549,-0.492
Lockdown: yes,0.49,0.256,1.912,0.056,-0.018,0.997
