Name,Model,ELPD,ELPD_SE,LOOIC,LOOIC_wt,LOOIC_SE,WAIC,WAIC_wt,delta_WAIC,RMSE,Sigma,pseudo_r2
env_gard_pred_bmod,stanreg,-664.3523690574058,38.14689890726807,1328.7047381148116,0.2417066898584619,76.29379781453613,1326.686470726437,0.7658126887357786,0,7.115341715964747,1,0.1876196323200081
env_dog_bmod,stanreg,-666.2058556325295,38.127828933906244,1332.411711265059,3.3139381208082173e-7,76.25565786781249,1330.4187811292056,0.11848453038474212,3.7323104027686895,7.209729327831403,1,0.18379181819041568
env_bmod,stanreg,-665.8450370845204,38.331206681503886,1331.6900741690408,0.2622819660585841,76.66241336300777,1330.4662966044198,0.11570278087947936,3.77982587798283,7.229792049395081,1,0.18216557656128862
catmarten_bmod,stanreg,-792.3540827877604,42.33233580580298,1584.7081655755208,0.0019705909276555023,84.66467161160595,1584.5303390012125,7.834981326428148e-57,257.84386827477556,7.6270285473309025,1,0.020618902297950825
imp_gard_pred_bmod,stanreg,-794.4320170122288,42.58247747118842,1588.8640340244576,0.44337375507708376,85.16495494237684,1587.9786700813925,1.3971479111355033e-57,261.2921993549555,7.6333843694810435,1,0.022493399623767396
gard_pred_bmod,stanreg,-794.8759483825424,42.538812775970264,1589.751896765085,1.2793173592159193e-5,85.07762555194053,1588.841382794096,9.076255239647676e-58,262.1549120676591,7.609775396978821,1,0.020491110417187985
imp_bmod,stanreg,-795.2770603292466,42.33689613985751,1590.5541206584933,3.7009350535512812e-6,84.67379227971502,1590.417511981516,4.127191268281821e-58,263.73104125507916,7.710714777209533,1,0.015530982700360463
season_lock_bmod,stanreg,-795.3887865421336,42.28828920293733,1590.7775730842673,8.645409234825221e-7,84.57657840587466,1590.7177697715842,3.551848599689388e-58,264.0312990451473,7.724297403342057,1,0.014137989868647782
imp_dog_bmod,stanreg,-797.4647244106867,42.52342110672439,1594.9294488213734,1.0217895862100727e-5,85.04684221344878,1594.4690032373705,5.443577973372061e-59,267.7825325109336,7.71060505735691,1,0.01575182854214896
dog_bmod,stanreg,-797.6311257502297,42.45625147128384,1595.2622515004593,2.7740698875200416e-9,84.91250294256768,1594.8588975818989,4.479401250696467e-59,268.17242685546194,7.720691934453305,1,0.014404957949576747
null_bmod,stanreg,-805.9178426077682,42.818140409902355,1611.8356852155364,0.05063908736490148,85.63628081980471,1611.8268744034042,9.261271491419607e-63,285.14040367696725,7.8586197442049075,1,-0.0011777346494032948
