Predictors,Estimate,SE,T_statistic,p,conf.low,conf.high
Intercept,0.813,0.223,3.651,0,0.394,1.274
Imperviousness,-0.214,0.14,-1.523,0.128,-0.492,0.062
Noise,0.005,0.149,0.032,0.974,-0.309,0.326
Population density,0.148,0.148,0.997,0.319,-0.112,0.468
Distance to city border,0.085,0.159,0.536,0.592,-0.222,0.404
Garden size,0.041,0.123,0.33,0.741,-0.251,0.353
Dogs: yes,0.662,0.411,1.611,0.107,-0.228,1.674
Season: spring,-1.029,0.256,-4.021,0,-1.554,-0.501
Lockdown: yes,0.51,0.256,1.996,0.046,0.002,1.017
