Name,AIC,delta_AIC,AICc,R2_marginal,R2_conditional
cats03,2172.691,0,2173.317,0.451,0.632
cats02,2189.764,17.073,2190.186,0.449,0.631
cats01,2190.268,17.577,2190.526,0.423,0.614
cats00,2314.806,142.115,2314.821,0,0.368
