Name,Model,ELPD,ELPD_SE,LOOIC,LOOIC_wt,LOOIC_SE,WAIC,WAIC_wt,delta_WAIC,ICC,RMSE,Sigma,r2_marginal,r2_conditional
marten_b_03,stanreg,-350.8741200409264,24.61547259783746,701.7482400818528,0.7622805242227909,49.23094519567492,698.2198031375286,0.9999113447945018,0,1,1.413474396912272,1,0.8389471316241851,1
marten_b_01,stanreg,-359.20809939570466,25.325090598620278,718.4161987914093,0.23771913389494914,50.650181197240556,717.2559659743946,7.350404806347266e-5,19.03616283686597,1,1.5508921106426334,1,0.8196641710653796,1
marten_b_02,stanreg,-362.20397385711055,25.417397977112188,724.4079477142211,3.218710774771431e-8,50.834795954224376,720.4144930804702,1.515115743455913e-5,22.194689942941523,1,1.5332766769648285,1,0.8151209231494856,1
marten_b_00,stanreg,-388.52720730258085,25.329195444930097,777.0544146051617,3.096951522276602e-7,50.65839088986019,776.735573855492,8.922334751417377e-18,78.51577071796339,1,1.8942602381525089,1,0,1
