Name,AIC,delta_AIC,AICc,R2_marginal,R2_conditional
env05,3694.543,0,3695.236,0.369,0.631
env02,3741.57,47.027,3741.917,0.349,0.616
env04,3745.249,50.706,3745.754,0.349,0.616
env01,3748.837,54.294,3749.056,0.31,0.592
env03,3750.903,56.36,3751.25,0.312,0.594
env00,4012.863,318.32,4012.874,0,0.405
