Name,n_param,AICc,delta_AICc,AICc_weight,R2_marginal,R2_conditional
env05,27,3695.236,0,1,0.369,0.631
env02,19,3741.917,46.681,0,0.349,0.616
env04,23,3745.754,50.518,0,0.349,0.616
env01,15,3749.056,53.82,0,0.31,0.592
env03,19,3751.25,56.014,0,0.312,0.594
env00,3,4012.874,317.638,0,0,0.405
