Predictors,Chisq,Df,p
"poly(hour_day, 4)",155.29433,4,0
lockdown,4.82732,1,0.02801
Season,5.43532,1,0.01973
scale(imperviousness_2018),0.45485,1,0.50004
dogs_binary,0.61729,1,0.43205
"poly(hour_day, 4):lockdown",7.65578,4,0.10503
"poly(hour_day, 4):Season",57.67627,4,0
"poly(hour_day, 4):scale(imperviousness_2018)",13.56427,4,0.00882
"poly(hour_day, 4):dogs_binary",5.28989,4,0.25883
