Name,Model,ELPD,ELPD_SE,LOOIC,LOOIC_wt,LOOIC_SE,WAIC,WAIC_wt,delta_WAIC,ICC,RMSE,Sigma,Score_log,Score_spherical,r2_marginal,r2_conditional
env_b_03,stanreg,-1846.8643979016954,57.35853827960878,3693.7287958033908,0.7510328863744572,114.71707655921756,3682.7953048807444,0.9999999999999978,0,0.459983826923738,0.978627688572913,1,-0.7488013386982285,0.01903403336005124,0.38172897432324,0.6664464847952832
env_b_02,stanreg,-1878.3335382495595,58.84969165591409,3756.667076499119,0.07714190767828984,117.69938331182819,3750.3340691289222,2.15845841648445e-15,67.53876424817781,0.45889585062933036,0.9872486786298494,1,-0.7660596300466604,0.018995303737295677,0.3730769005458648,0.6613351019487099
env_b_01,stanreg,-1891.6242313069263,62.146873522587086,3783.2484626138526,0.11043740162024394,124.29374704517417,3776.472466337231,4.552635174892084e-21,93.67716145648637,0.45627817910258056,1.0125125590535247,1,-0.7749797587185807,0.018991698189005694,0.3217964887422065,0.6312196392963909
env_b_00,stanreg,-2122.433538935639,64.56992264306712,4244.867077871278,0.061387804327008993,129.13984528613423,4237.516781823571,3.497532713349666e-121,554.7214769428269,0.470228418996058,1.1529966463186887,1,-0.8798770647271345,0.018878922471311406,0,0.4713429963708826
